pollster,id,polls,aapor,banned,ppm,grade,bias,called,outMOE,avgErr,advPM,nBias,rawBias,house
The Washington Post,3,98,yes,no,-1.0889,A+,0.8981,0.6939,0.0612,2.9595,-1.5009,93,1.1874,0.8981
Marquette University Law School,195,17,yes,no,-0.9972,A/B,0.3155,0.7647,0.0588,2.7118,-2.5684,13,0.8962,0.3155
Research & Polling Inc.,280,44,no,no,-0.9753,A+,-0.5494,0.8864,0.0909,4.177,-2.1076,43,-0.9567,-0.5494
OnMessage Inc.,239,32,no,no,-0.8503,A,-1.2252,0.8125,0.125,3.2628,-2.0193,32,-1.9978,-1.2252
Data Orbital,73,18,yes,no,-0.8305,A/B,0.0794,0.8056,0,2.5944,-1.8472,18,0.1867,0.0794
TIPP Insights,144,51,no,no,-0.8119,A,-0.071,0.6373,0.0196,2.0892,-1.7099,51,-0.1014,-0.071
Cygnal,67,58,no,no,-0.8036,A,2.0376,0.9397,0.1379,3.9122,-1.6809,58,2.7688,2.0376
The New York Times/Siena College,448,116,yes,no,-0.7951,A,1.4121,0.7371,0.181,4.0176,-1.1367,114,1.7015,1.4121
Monmouth University,215,131,yes,no,-0.7719,A,2.0013,0.7748,0.2595,5.7196,-1.1936,93,2.6391,2.0013
SurveyUSA,325,871,no,no,-0.6574,A,0.0857,0.8915,0.1975,4.7112,-0.8329,710,0.0911,0.0857
CBS News/The New York Times,36,66,yes,no,-0.6522,A,0.2683,0.7576,0.2424,4.4639,-0.9954,53,0.5315,0.2683
Public Opinion Strategies,260,80,yes,no,-0.6411,A,-1.2787,0.6687,0.225,5.4655,-0.9287,78,-2.0153,-1.2787
AtlasIntel,546,93,yes,no,-0.6358,A,-0.0358,0.8441,0.1075,2.4552,-0.7662,83,-0.0437,-0.0358
Emerson College,88,320,yes,no,-0.6098,A,0.6074,0.7812,0.1844,4.6723,-0.9308,270,0.6576,0.6074
Siena College,305,67,yes,no,-0.6039,A,0.1189,0.8657,0.2537,5.1085,-0.8417,62,0.1735,0.1189
Muhlenberg College,219,36,yes,no,-0.5772,A-,-0.1093,0.8056,0.0833,3.705,-1.8492,35,-0.2069,-0.1093
Echelon Insights,407,19,no,no,-0.5523,A-,-0.1934,0.7368,0,2.1816,-2.0325,19,-0.3911,-0.1934
University of North Florida,360,14,yes,no,-0.5432,A/B,1.5805,0.5714,0.2143,4.8507,-1.1163,11,5.0164,1.5805
Beacon Research/Shaw & Co. Research,103,63,yes,no,-0.5324,A-,1.3443,0.7381,0.3016,4.8452,-0.6444,48,1.9785,1.3443
Hart Research Associates/Public Opinion Strategies,221,37,yes,no,-0.5253,A-,0.8503,0.7162,0.0811,3.44,-1.0387,34,1.5282,0.8503
Public Policy Institute of California,262,18,yes,no,-0.5245,A/B,-0.9951,1,0.2222,4.8144,-0.9563,12,-3.8683,-0.9951
Grove Insight,129,29,no,no,-0.5203,A/B,0.4652,0.8966,0.069,2.9548,-2.5085,29,1.199,0.4652
MassINC Polling Group,198,22,yes,no,-0.4961,A/B,-0.5487,0.8636,0.1818,4.52,-0.8711,16,-1.4994,-0.5487
Suffolk University,323,112,yes,no,-0.4958,A-,0.7051,0.8036,0.2232,4.9281,-0.7275,70,0.9646,0.7051
Susquehanna Polling & Research Inc.,326,56,no,no,-0.446,A-,0.4329,0.6607,0.2143,4.9652,-0.811,51,0.6531,0.4329
Greenberg Quinlan Rosner,126,62,yes,no,-0.4456,A-,2.1837,0.5887,0.129,4.4858,-0.5308,60,3.5958,2.1837
Mason-Dixon Polling & Strategy,197,446,no,no,-0.4393,A-,-0.5037,0.8599,0.2332,5.136,-0.6097,389,-0.5759,-0.5037
Landmark Communications,166,41,no,no,-0.4096,A-,0.8263,0.7073,0.1951,4.272,-1.0231,37,1.4765,0.8263
Marist College,183,213,yes,no,-0.4021,A-,0.5212,0.8122,0.2582,5.2803,-0.4727,144,0.6218,0.5212
Angus Reid Global,13,32,no,no,-0.395,A/B,-0.9774,0.9062,0.0625,3.2,-1.8669,32,-2.14,-0.9774
National Journal,224,12,yes,no,-0.3874,A/B,-0.1101,1,0,2.5958,-2.541,12,-0.6375,-0.1101
The Winston Group,385,11,yes,no,-0.3829,A/B,1.0322,0.4545,0.3636,4.2636,-0.9666,11,4.0709,1.0322
Los Angeles Times,172,37,yes,no,-0.3812,A/B,-0.1359,0.8243,0.2703,5.0335,-0.7706,23,-0.6026,-0.1359
Stockton University,317,12,yes,no,-0.3786,A/B,0.8428,0.9167,0.1667,4.3958,-0.9079,12,2.9558,0.8428
Greenberg Quinlan Rosner/American Viewpoint,127,8,yes,no,-0.3777,A/B,-0.519,1,0.5,4.375,-1.5599,6,-4.2683,-0.519
University of Massachusetts Lowell,355,38,yes,no,-0.3712,A-,1.2853,0.7763,0.2368,5.4303,-0.4483,29,2.2448,1.2853
Concord Public Opinion Partners,553,4,yes,no,-0.3512,A/B,-0.0187,1,0.25,5.91,-1.7878,3,-0.1233,-0.0187
Christopher Newport University,50,16,yes,no,-0.3402,A/B,0.8144,0.9375,0.3125,5.2769,-0.4668,15,2.1887,0.8144
University of Connecticut,347,11,yes,no,-0.3401,A/B,-0.1258,0.9545,0.0909,3.6345,-2.2736,11,-0.9782,-0.1258
Elway Research,87,21,no,no,-0.331,A/B,0.6323,0.9048,0.0476,3.8631,-2.5601,20,2.0537,0.6323
Tarrance Group,333,32,no,no,-0.3205,A/B,-0.872,0.8125,0.2188,5.6188,-0.9482,28,-2.0825,-0.872
Field Research Corp. (Field Poll),94,25,no,no,-0.3186,A/B,-0.5491,1,0.2,4.1036,-2.1952,18,-2.4539,-0.5491
Fairleigh Dickinson University,92,22,yes,no,-0.3175,A/B,0.018,0.9545,0.1364,4.6818,-0.5906,21,0.051,0.018
Garin-Hart-Yang Research Group,113,33,no,no,-0.2969,A-,1.7334,0.8333,0.2727,5.3933,-0.8399,33,3.5376,1.7334
Western New England University,380,11,yes,no,-0.2863,A/B,-0.3166,1,0.0909,4.1936,-2.1414,10,-1.412,-0.3166
OH Predictive Insights,235,22,no,no,-0.2819,B+,0.5506,0.6818,0.0909,3.885,-1.1072,20,1.092,0.5506
Opinion Dynamics,104,34,yes,no,-0.2672,A/B,-0.2488,0.7206,0.1176,3.865,-0.3968,28,-0.9243,-0.2488
Alaska Survey Research,155,16,no,no,-0.2645,A/B,1.7697,0.6875,0.3125,5.4131,-1.1505,13,5.49,1.7697
Princeton Survey Research Associates International,258,35,yes,no,-0.2635,A/B,0.3841,0.6571,0.3429,5.0023,-0.2097,33,1.1058,0.3841
Lake Research Partners/The Tarrance Group,114,33,yes,no,-0.2617,A/B,-0.5951,0.5758,0.1212,3.3915,-0.653,33,-1.6648,-0.5951
Elon University,86,8,yes,no,-0.2563,A/B,0.3626,0.5625,0.125,3.155,-1.4491,8,2.0825,0.3626
National Research,225,15,no,no,-0.2467,A/B,-0.3472,0.7667,0.1333,4.3587,-1.7048,12,-1.2125,-0.3472
